start,end,cat,name,race_id
23/06/2022,,NCT5,National Championships Angola (Huila) I.T.T.,40588
23/06/2022,,NE,National Championships Russia (Saransk) I.T.T.,40912
24/06/2022,,NCT4,National Championships Israel (Golan Heights) I.T.T.,40164
24/06/2022,,NC1,National Championships Netherlands (Drijber) R.R.,40188
24/06/2022,,NCT2,National Championships Spain (Cala Millor) I.T.T.,40216
24/06/2022,,NCT4,National Championships Japan (Mihara City) I.T.T.,40227
24/06/2022,,NC4,National Championships Hungary (Pannonhalma) R.R.,40230
24/06/2022,,NCT5,National Championships Kosovo (Ferzaj) I.T.T.,40253
24/06/2022,,NCT4,National Championships Greece (Paranesti) I.T.T.,40255
24/06/2022,,NCT5,National Championships North Macedonia (Stobi) I.T.T.,40257
24/06/2022,,NCT3,National Championships Luxembourg (Nospelt) I.T.T.,40259
24/06/2022,,NCT4,National Championships Croatia (Varazdin) I.T.T.,40261
24/06/2022,,NCT3,National Championships Germany (Marsberg) I.T.T.,40263
24/06/2022,,NCT4,National Championships Eritrea (Asmara) I.T.T.,40267
24/06/2022,,NCT4,National Championships Malaysia (Ipoh) I.T.T.,40289
24/06/2022,,NCT5,National Championships Serbia (Erdevik) I.T.T.,40297
24/06/2022,,NC5,National Championships Philippines (Tagaytay) R.R.,40300
24/06/2022,,NCT4,National Championships Romania (Harghita) I.T.T.,40519
24/06/2022,,NCT4,National Championships Turkey (Gaziantep) I.T.T.,40521
24/06/2022,,NCT3,National Championships Portugal (Mogadouro) I.T.T.,40544
24/06/2022,,NCT4,National Championships Mongolia (Ulaanbatar) I.T.T.,40558
25/06/2022,,NC4,National Championships Israel (Golan Heights) R.R.,40165
25/06/2022,,NC5,National Championships Azerbaijan (Qala) R.R.,40224
25/06/2022,,NC3,National Championships Kazakhstan (Shchuchinsk) R.R.,40226
25/06/2022,,NC5,National Championships Iceland (Reykjahlid) R.R.,40234
25/06/2022,,NCT5,National Championships Grenada (Saint George) I.T.T.,40275
25/06/2022,,NCT4,National Championships Puerto Rico (Toa Baja) I.T.T.,40277
25/06/2022,,NCT5,National Championships Antigua and Barbuda () I.T.T.,40279
25/06/2022,,NCT5,National Championships British Virgin Islands (Tortola) I.T.T.,40285
25/06/2022,,NCT5,National Championships Sint Maarten (Simpson Bay) I.T.T.,40287
25/06/2022,,NC4,National Championships Malaysia (Ipoh) R.R.,40290
25/06/2022,,NCT5,National Championships Georgia () I.T.T.,40291
25/06/2022,,NCT5,National Championships Bulgaria (Nikola Kozlevo) I.T.T.,40293
25/06/2022,,NCT5,National Championships Trinidad and Tobago (San Fernando) I.T.T.,40295
25/06/2022,,NC5,National Championships Mauritius (Soreze) R.R.,40516
25/06/2022,,NCT5,National Championships Montenegro (Danilovgrad) I.T.T.,40527
25/06/2022,,NCT5,National Championships Jamaica (Barrett Town) I.T.T.,40531
25/06/2022,,NCT5,National Championships Moldova (Bacioi) I.T.T.,40566
25/06/2022,,NC5,National Championships Angola (Huila) R.R.,40589
26/06/2022,,NC3,"National Championships Estonia (Kuldiga, Latvia) R.R.",40167
26/06/2022,,NC4,National Championships Latvia (Kuldiga) R.R.,40169
26/06/2022,,NC4,"National Championships Lithuania (Kuldiga, Latvia) R.R.",40185
26/06/2022,,NC5,National Championships El Salvador (San Luis Talpa) R.R.,40213
26/06/2022,,NC2,National Championships Spain (Cala Millor - Palma) R.R.,40217
26/06/2022,,NC4,National Championships Japan (Mihara City) R.R.,40228
26/06/2022,,NC1,National Championships Italy (Marina di Ginosa - Alberobello) R.R.,40232
26/06/2022,,NC2,National Championships Great Britain (Castle Douglas) R.R.,40236
26/06/2022,,NC1,National Championships France (Cholet) R.R.,40238
26/06/2022,,NC1,National Championships Belgium (Middelkerke) R.R.,40240
26/06/2022,,NC3,National Championships Czech Republic (Mlada Vozice) R.R.,40242
26/06/2022,,NC4,"National Championships Slovakia (Mlada Vozice, CZE) R.R.",40244
26/06/2022,,NC3,National Championships Canada (Edmonton) R.R.,40248
26/06/2022,,NC3,National Championships Ireland (Kanturk) R.R.,40250
26/06/2022,,NC2,National Championships Denmark (Aalborg) R.R.,40252
26/06/2022,,NC5,National Championships Kosovo (Ferizaj) R.R.,40254
26/06/2022,,NC4,National Championships Greece (Paranesti) R.R.,40256
26/06/2022,,NC5,National Championships North Macedonia (Kavadarci) R.R.,40258
26/06/2022,,NC3,National Championships Luxembourg (Nospelt) R.R.,40260
26/06/2022,,NC4,National Championships Croatia (Sveti Ilija) R.R.,40262
26/06/2022,,NC3,National Championships Germany (Arnsberg - Winterberg) R.R.,40264
26/06/2022,,NC5,National Championships Guatemala (San Lucas Sacatepequez) R.R.,40266
26/06/2022,,NC4,National Championships Eritrea (Asmara) R.R.,40268
26/06/2022,,NC3,National Championships Austria (Judendorf) R.R.,40270
26/06/2022,,NC5,National Championships Mali (Yirimadio) R.R.,40274
26/06/2022,,NC5,National Championships Grenada (Saint George) R.R.,40276
26/06/2022,,NC4,National Championships Puerto Rico (Peñuelas) R.R.,40278
26/06/2022,,NC5,National Championships Antigua and Barbuda () R.R.,40280
26/06/2022,,NC5,National Championships British Virgin Islands (Tortola) R.R.,40286
26/06/2022,,NC5,National Championships Sint Maarten (Philipsburg) R.R.,40288
26/06/2022,,NC5,National Championships Georgia () R.R.,40292
26/06/2022,,NC5,National Championships Bulgaria (Nikola Kozlevo) R.R.,40294
26/06/2022,,NC5,National Championships Trinidad and Tobago (San Fernando) R.R.,40296
26/06/2022,,NC5,National Championships Serbia (Kraljevo) R.R.,40298
26/06/2022,,NC5,National Championships Ivory Coast (Abidjan) R.R.,40302
26/06/2022,,NC3,National Championships Norway (Levanger) R.R.,40304
26/06/2022,,NC1,National Championships Slovenia (Maribor) R.R.,40507
26/06/2022,,NC3,National Championships Switzerland (Steinmaur) R.R.,40509
26/06/2022,,NC3,National Championships Poland (Nowy Dwor Mazowiecki) R.R.,40511
26/06/2022,,NC5,National Championships Belize (Belize City - Mount Hope) R.R.,40518
26/06/2022,,NC4,National Championships Romania (Harghita) R.R.,40520
26/06/2022,,NC4,National Championships Turkey (Gaziantep) R.R.,40522
26/06/2022,,NC5,National Championships Brazil (Palmas) R.R.,40524
26/06/2022,,NC5,National Championships Montenegro (Danilovgrad) R.R.,40528
26/06/2022,,NC5,National Championships Jamaica (Ocho Rios) R.R.,40532
26/06/2022,,NC5,National Championships Swaziland (Mpaka) R.R.,40533
26/06/2022,,NC3,National Championships United States (Knoxville) R.R.,40543
26/06/2022,,NC3,National Championships Portugal (Mogadouro) R.R.,40545
26/06/2022,,NC4,National Championships Sweden (Uppsala) R.R.,40552
26/06/2022,,NC5,National Championships Bermuda (St. David's) R.R.,40553
26/06/2022,,NC5,National Championships Ghana (Accra) R.R.,40554
26/06/2022,,NC5,National Championships Mexico (Guadelajara) R.R.,40555
26/06/2022,,NC5,National Championships Nicaragua (Managua) R.R.,40556
26/06/2022,,NC4,National Championships Mongolia (Ulaanbatar) R.R.,40557
26/06/2022,,NC5,National Championships Anguilla (Jeremiah Highway) R.R.,40560
26/06/2022,,NC5,National Championships Moldova (Bacioi) R.R.,40567
26/06/2022,,NE,National Championships Russia (Saransk) R.R.,40913
28/06/2022,,NCT5,National Championships Uzbekistan (Tashkent) I.T.T.,40534
29/06/2022,,NC5,National Championships Uzbekistan (Tashkent) R.R.,40535
29/06/2022,,NCT5,National Championships Ethiopia (Diri Dawa) I.T.T.,40587
29/06/2022,2/07/2022,2.2,Course de Solidarnosc et des Champions Olympiques,39983
30/06/2022,,NCT5,National Championships South Korea (Yangyang) I.T.T.,40536
30/06/2022,,XX,Mediterranean Games (Oran) I.T.T.,40559
30/06/2022,,NC5,National Championships Ethiopia (Diri Dawa) R.R.,40586
