race_name,year,stage_race,race_url
dwars-door-vlaanderen,2022,False,race/dwars-door-vlaanderen/2022
ronde-van-vlaanderen,2022,False,race/ronde-van-vlaanderen/2022
itzulia-basque-country,2022,True,race/itzulia-basque-country/2022
amstel-gold-race,2022,False,race/amstel-gold-race/2022
paris-roubaix,2022,False,race/paris-roubaix/2022
la-fleche-wallone,2022,False,race/la-fleche-wallone/2022
liege-bastogne-liege,2022,False,race/liege-bastogne-liege/2022
tour-de-romandie,2022,True,race/tour-de-romandie/2022
eschborn-frankfurt,2022,False,race/eschborn-frankfurt/2022
giro-d-italia,2022,True,race/giro-d-italia/2022
dauphine,2022,True,race/dauphine/2022
tour-de-suisse,2022,True,race/tour-de-suisse/2022
tour-de-france,2022,True,race/tour-de-france/2022
san-sebastian,2022,False,race/san-sebastian/2022
tour-de-pologne,2022,True,race/tour-de-pologne/2022
vuelta-a-espana,2022,True,race/vuelta-a-espana/2022
cyclassics-hamburg,2022,False,race/cyclassics-hamburg/2022
bretagne-classic,2022,False,race/bretagne-classic/2022
benelux-tour,2022,True,race/benelux-tour/2022
gp-quebec,2022,False,race/gp-quebec/2022
gp-montreal,2022,False,race/gp-montreal/2022
il-lombardia,2022,False,race/il-lombardia/2022
tour-of-guangxi,2022,True,race/tour-of-guangxi/2022
