"Rider","Pro_year","Points_as_neopro","heuristic"
"hatanaka yusuke",2008,15,0
"helven sander",2013,83,0
"henao sebastián",2014,315,0
"henttala joonas",2013,10,0
"hepburn michael",2012,88,1.25
"herklotz silvio",2016,165,1.79777777777778
"hermans ben",2009,440,0.388888888888889
"hermans quinten",2020,NA,0
"herrada jesús",2011,155,0.5
"herrada josé",2008,132,0
"herregodts rune",2021,NA,1.2
"hesselbarth david",2011,0,0.383333333333333
"higuita sergio",2017,130,0
"hindley jai",2018,404,0.742857142857143
"hindsgaul madsen jacob",2020,21,0.383333333333333
"hirschi marc",2019,1419,1.24145299145299
"hirt jan",2015,295,1.16666666666667
"hník karel",2015,172,0.5
"hodeg álvaro josé",2018,1010,0
"hoelgaard daniel",2016,172,0.433333333333333
"hofland moreno",2013,804,0.491666666666667
"hofstede lennard",2017,212,0.365
"hofstetter hugo",2016,204,0.226190476190476
"holloway daniel",2008,19,0
"honkisz adrian",2010,125,0.166666666666667
"honoré mikkel frølich",2019,251,0.73125
"hoornaert stijn",2007,0,0
"houanard steve",2008,36,0
"houle hugo",2011,96,0
"howard leigh",2010,383,0.75
"howes alex",2007,0,0
"howson damien",2014,181,0.736111111111111
"hucker robbie",2014,28,0
"huffman evan",2013,15,0
"huguet yann",2007,354,0.5
"hulgaard morten",2020,29,0.361111111111111
"hupond thierry",2008,203,0.333333333333333
"hurel tony",2011,138,0.5
"ignatenko petr",2011,128,0.333333333333333
"impey daryl",2008,221,0
"intxausti beñat",2008,172,0.5
"irisarri jon",2017,43,0
"irvine declan",2019,3,0
"ishibashi manabu",2015,4,0
"iversen rasmus",2019,15,0.0666666666666667
"izagirre gorka",2008,10,0
"izagirre ion",2011,434,0
"jacobs johan",2020,56,0.35
"jacobs pieter",2007,340,0.333333333333333
"jakobsen fabio",2018,1407,0.305555555555556
"jang chan jae",2013,38,0
"janiszewski sylwester",2010,80,0
"jans roy",2013,387,0.666666666666667
"janse van rensburg reinardt",2013,541,0
"jansen amund grøndahl",2017,536,0.7
"jarc blaž",2012,246,0.244761904761905
"jarrier benoît",2013,197,0
"jaspers jappe",2017,0,0
"jauregui quentin",2015,154,0.19047619047619
"jeannesson arnold",2009,68,1
"jim songezo",2013,36,0
"johansen julius",2020,24,0.416666666666667
"joseph gregory",2010,67,0.0816666666666667
"joseph stijn",2009,1,0.4
"journiaux axel",2018,0,0.5
"joyce colin",2018,312,0.0555555555555556
"jungels bob",2013,575,0.795833333333333
"juodvalkis egidijus",2011,175,0
"juul-jensen christopher",2012,88,0.5
"kaczmarek jakub",2015,8,0
"kadri blel",2009,230,0.325
"kaikov valery",2012,2,0.5
"kaltofen petr",2008,0,0
"kämna lennard",2016,308,0.875
"kamp alexander",2016,232,1.12
"kamyshev arman",2013,79,0.105555555555556
"kangert tanel",2008,157,0.7
"kanter max",2019,160,0.594444444444444
"kasperkiewicz przemyslaw",2018,65,0.101731601731602
"keizer martijn",2011,241,0.25
"kelderman wilco",2012,1070,0.7
"keller patrick",2008,0,0
"kennaugh peter",2010,211,0.833333333333333
"kerby jordan",2014,94,0
"kerkhof tim",2015,68,0.111111111111111
"kern julian",2013,71,0.208333333333333
"keukeleire jens",2010,616,0.222222222222222
"keukeleire jens",2010,616,0.222222222222222
"khatuntsev alexander",2007,125,0.666666666666667
"king ben",2011,112,0.192857142857143
"king ben",2011,112,0.192857142857143
"king ben",2011,112,0.192857142857143
"king ben",2011,112,0.192857142857143
"king benjamin",2011,8,0
"kireyev roman",2008,80,0
"kirsch alex",2015,154,0.361904761904762
"kišerlovski robert",2010,665,0.166666666666667
"kittel marcel",2011,1743,0.885714285714286
"klemme dominic",2009,218,0.25
"kloucek frantisek",2008,3,0
"kluge roger",2010,277,0.25
"knox james",2018,615,0.74537037037037
"kobayashi marino",2017,0,0
"kobernyak evgeny",2018,13,0.0476190476190476
"koch jonas",2016,197,0
"koch michel",2013,119,0.660714285714286
"kohler martin",2008,28,0.142857142857143
"koishi yuma",2016,7,0.2
"kolár michael",2014,150,0
"kolesnikov sergey",2007,121,0.666666666666667
